segment,idx,rho_kpc,inc_deg,alpha_deg,h5
seg1,42,71.23767266606639,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0042_r071.24_i023.00_a000.00.h5
seg1,43,69.00050774115776,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0043_r069.00_i023.00_a000.00.h5
seg1,44,66.80216477699486,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0044_r066.80_i023.00_a000.00.h5
seg1,45,64.64427510586232,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0045_r064.64_i023.00_a000.00.h5
seg1,46,62.52828029769125,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0046_r062.53_i023.00_a000.00.h5
seg1,47,60.455438858398836,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0047_r060.46_i023.00_a000.00.h5
seg1,48,58.42683328187747,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0048_r058.43_i023.00_a000.00.h5
seg1,49,56.44337739172616,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0049_r056.44_i023.00_a000.00.h5
seg1,50,54.50582391197457,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0050_r054.51_i023.00_a000.00.h5
seg1,51,52.61477220939589,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0051_r052.61_i023.00_a000.00.h5
seg1,52,50.770676153493135,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0052_r050.77_i023.00_a000.00.h5
seg1,53,48.97385204384076,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0053_r048.97_i023.00_a000.00.h5
seg1,54,47.2244865581142,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0054_r047.22_i023.00_a000.00.h5
seg1,55,45.52264467782709,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0055_r045.52_i023.00_a000.00.h5
seg1,56,43.868277552465436,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0056_r043.87_i023.00_a000.00.h5
seg1,57,42.26123026635009,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0057_r042.26_i023.00_a000.00.h5
