segment,idx,inc_deg,alpha_deg,npz
seg2,48,79.75245065895858,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0048_inc079.75_a000.00.npz
seg2,49,77.39670262568694,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0049_inc077.40_a000.00.npz
seg2,50,74.8592625384311,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0050_inc074.86_a000.00.npz
seg2,51,72.15743440233238,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0051_inc072.16_a000.00.npz
seg2,52,69.3085222225321,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0052_inc069.31_a000.00.npz
seg2,53,66.32983000417173,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0053_inc066.33_a000.00.npz
seg2,54,63.2386617523925,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0054_inc063.24_a000.00.npz
seg2,55,60.05232147233585,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0055_inc060.05_a000.00.npz
seg2,56,56.7881131691431,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0056_inc056.79_a000.00.npz
seg2,57,53.46334084795563,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0057_inc053.46_a000.00.npz
seg2,58,50.09530851391472,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0058_inc050.10_a000.00.npz
seg2,59,46.701320172161815,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0059_inc046.70_a000.00.npz
seg2,60,43.298679827838214,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0060_inc043.30_a000.00.npz
seg2,61,39.90469148608531,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0061_inc039.90_a000.00.npz
seg2,62,36.536659152044436,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0062_inc036.54_a000.00.npz
seg2,63,33.2118868308569,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0063_inc033.21_a000.00.npz
seg2,64,29.947678527664152,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0064_inc029.95_a000.00.npz
seg2,65,26.7613382476075,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0065_inc026.76_a000.00.npz
seg2,66,23.670169995828275,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0066_inc023.67_a000.00.npz
seg2,67,20.691477777467888,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0067_inc020.69_a000.00.npz
seg2,68,17.84256559766764,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0068_inc017.84_a000.00.npz
seg2,69,15.140737461568927,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0069_inc015.14_a000.00.npz
seg2,70,12.603297374313044,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0070_inc012.60_a000.00.npz
seg2,71,10.24754934104142,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0071_inc010.25_a000.00.npz
seg2,72,8.090797366895362,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0072_inc008.09_a000.00.npz
seg2,73,6.150345457016245,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0073_inc006.15_a000.00.npz
seg2,74,4.44349761654538,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0074_inc004.44_a000.00.npz
seg2,75,2.9875578506241887,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0075_inc002.99_a000.00.npz
seg2,76,1.799830164393993,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0076_inc001.80_a000.00.npz
seg2,77,0.8976185629961353,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0077_inc000.90_a000.00.npz
seg2,78,0.2982270515719876,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0078_inc000.30_a000.00.npz
seg2,79,0.018959635262901786,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0079_inc000.02_a000.00.npz
seg2,80,0.11840129032334551,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0080_inc000.12_a000.00.npz
seg2,81,0.5532445306347908,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0081_inc000.55_a000.00.npz
seg2,82,0.8801139833095808,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0082_inc000.88_a000.00.npz
seg2,83,1.2740524781341098,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0083_inc001.27_a000.00.npz
seg2,84,1.7306378804611284,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0084_inc001.73_a000.00.npz
seg2,85,2.2454480556434087,0.0,/data/sborthak/m61/edinburgh_movie/projections/seg2/proj_0085_inc002.25_a000.00.npz
